"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","ID","Group","Job Type","Updated","End Time","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","_name_or_path","_num_labels","adafactor","adam_beta1","adam_beta2","adam_epsilon","add_cross_attention","attention_probs_dropout_prob","auto_find_batch_size","batch_size","bf16","bf16_full_eval","chunk_size_feed_forward","data_seed","dataloader_drop_last","dataloader_num_workers","dataloader_pin_memory","ddp_backend","ddp_broadcast_buffers","ddp_bucket_cap_mb","ddp_find_unused_parameters","ddp_timeout","debug","deepspeed","directionality","disable_tqdm","diversity_penalty","do_eval","do_predict","do_sample","do_train","early_stopping","encoder_no_repeat_ngram_size","epochs","eval_accumulation_steps","eval_batch_size","eval_delay","eval_steps","evaluation_strategy","fp16","fp16_backend","fp16_full_eval","fp16_opt_level","fsdp","fsdp_config","fsdp_min_num_params","fsdp_transformer_layer_cls_to_wrap","full_determinism","gradient_accumulation_steps","gradient_checkpointing","greater_is_better","group_by_length","half_precision_backend","hidden_act","hidden_dropout_prob","hidden_size","hub_model_id","hub_private_repo","hub_strategy","hub_token","id2label.0","id2label.1","ignore_data_skip","include_inputs_for_metrics","initializer_range","intermediate_size","is_decoder","is_encoder_decoder","jit_mode_eval","label2id.LABEL_0","label2id.LABEL_1","label_names","label_smoothing_factor","layer_norm_eps","learning_rate","length_column_name","length_penalty","load_best_model_at_end","local_rank","log_level","log_level_replica","log_on_each_node","logging_dir","logging_first_step","logging_nan_inf_filter","logging_steps","logging_strategy","lr_scheduler_type","max_grad_norm","max_length","max_position_embeddings","max_steps","metric_for_best_model","min_length","model_type","mp_parameters","no_cuda","no_repeat_ngram_size","num_attention_heads","num_beam_groups","num_beams","num_hidden_layers","num_return_sequences","num_train_epochs","optim","optim_args","output_attentions","output_dir","output_hidden_states","output_past","output_scores","overwrite_output_dir","pad_token_id","past_index","per_device_eval_batch_size","per_device_train_batch_size","per_gpu_eval_batch_size","per_gpu_train_batch_size","pooler_fc_size","pooler_num_attention_heads","pooler_num_fc_layers","pooler_size_per_head","pooler_type","position_embedding_type","prediction_loss_only","push_to_hub","push_to_hub_model_id","push_to_hub_organization","push_to_hub_token","ray_scope","remove_invalid_values","remove_unused_columns","repetition_penalty","report_to","resume_from_checkpoint","return_dict","return_dict_in_generate","run_name","save_on_each_node","save_safetensors","save_steps","save_strategy","save_total_limit","seed","sharded_ddp","skip_memory_metrics","temperature","tf32","tf_legacy_loss","tie_encoder_decoder","tie_word_embeddings","top_k","top_p","torch_compile","torch_compile_backend","torch_compile_mode","torchdynamo","torchscript","tpu_metrics_debug","tpu_num_cores","train_batch_size","transformers_version","type_vocab_size","typical_p","use_bfloat16","use_cache","use_ipex","use_legacy_prediction_loop","use_mps_device","vocab_size","warmup_ratio","warmup_steps","weight_decay","xpu_backend","eval/accuracy","eval/loss","eval/runtime","eval/samples_per_second","eval/steps_per_second","train/epoch","train/global_step","train/learning_rate","train/loss","train/total_flos","train/train_loss","train/train_runtime","train/train_samples_per_second","train/train_steps_per_second"
"royal-sweep-20","7460r8iv","finished","-","aphuongle95","","2023-08-07T17:52:46.000Z","564","l8ouv58c","fbhcgot4","","","2023-08-07T18:02:10.000Z","2023-08-07T18:02:10.000Z","phuong-WS-C621E-SAGE-Series","","","","1","NVIDIA GeForce RTX 2080 Ti","FPTAI/vibert-base-cased","2","false","0.9","0.999","1e-8","false","0.1","false","16","false","false","0","None","false","0","true","None","None","None","None","1800","[]","None","bidi","false","0","true","false","false","false","false","0","5","None","16","0","None","epoch","false","auto","false","O1","[]","{'fsdp_min_num_params': 0, 'xla': False, 'xla_fsdp_grad_ckpt': False}","0","None","false","1","false","false","false","auto","gelu","0.1","768","None","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","0.02","3072","false","false","false","0","1","None","0","1e-12","0.00006144460809126299","length","1","true","0","passive","warning","true","./results/runs/Aug07_19-58-39_phuong-WS-C621E-SAGE-Series","false","true","500","epoch","linear","1","20","512","-1","loss","0","bert","","false","0","12","1","1","12","1","3","adamw_hf","None","false","./results","false","true","false","false","0","-1","16","16","None","None","768","12","3","128","first_token_transform","absolute","false","false","None","None","<PUSH_TO_HUB_TOKEN>","last","false","true","1","['wandb']","None","true","false","./results","false","false","500","epoch","None","42","[]","true","1","None","false","false","true","50","1","false","None","None","None","false","false","None","16","4.31.0","2","1","false","true","false","false","false","38168","0","0","0.1","None","0.8934240362811792","0.4193720519542694","2.2416","196.738","12.491","3","744","0","0.1167","1565247668336640","0.2434128894600817","203.1774","58.56","3.662"
"feasible-sweep-19","7460r8iv","finished","-","aphuongle95","","2023-08-07T17:46:53.000Z","352","l8ouv58c","7wlup57c","","","2023-08-07T17:52:45.000Z","2023-08-07T17:52:45.000Z","phuong-WS-C621E-SAGE-Series","","","","1","NVIDIA GeForce RTX 2080 Ti","FPTAI/vibert-base-cased","2","false","0.9","0.999","1e-8","false","0.1","false","16","false","false","0","None","false","0","true","None","None","None","None","1800","[]","None","bidi","false","0","true","false","false","false","false","0","5","None","8","0","None","epoch","false","auto","false","O1","[]","{'fsdp_min_num_params': 0, 'xla': False, 'xla_fsdp_grad_ckpt': False}","0","None","false","1","false","false","false","auto","gelu","0.1","768","None","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","0.02","3072","false","false","false","0","1","None","0","1e-12","0.0000511746107354866","length","1","true","0","passive","warning","true","seq-classification-sweeps/runs/Aug07_19-46-59_phuong-WS-C621E-SAGE-Series","false","true","500","epoch","linear","1","20","512","-1","loss","0","bert","","false","0","12","1","1","12","1","5","adamw_hf","None","false","seq-classification-sweeps","false","true","false","false","0","-1","8","16","None","None","768","12","3","128","first_token_transform","absolute","false","false","None","None","<PUSH_TO_HUB_TOKEN>","last","false","true","1","['wandb']","None","true","false","seq-classification-sweeps","false","false","500","epoch","None","42","[]","true","1","None","false","false","true","50","1","false","None","None","None","false","false","None","16","4.31.0","2","1","false","true","false","false","false","38168","0","0","0.001","None","0.9160997732426304","0.47770440578460693","2.3407","188.407","23.925","5","1240","0","0.0327","2608746113894400","0.17469021197288268","334.6175","59.262","3.706"
"floral-sweep-18","7460r8iv","finished","-","aphuongle95","","2023-08-07T17:41:00.000Z","349","l8ouv58c","9a84pong","","","2023-08-07T17:46:49.000Z","2023-08-07T17:46:49.000Z","phuong-WS-C621E-SAGE-Series","","","","1","NVIDIA GeForce RTX 2080 Ti","FPTAI/vibert-base-cased","2","false","0.9","0.999","1e-8","false","0.1","false","16","false","false","0","None","false","0","true","None","None","None","None","1800","[]","None","bidi","false","0","true","false","false","false","false","0","5","None","8","0","None","epoch","false","auto","false","O1","[]","{'fsdp_min_num_params': 0, 'xla': False, 'xla_fsdp_grad_ckpt': False}","0","None","false","1","false","false","false","auto","gelu","0.1","768","None","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","0.02","3072","false","false","false","0","1","None","0","1e-12","0.00003598065708741987","length","1","true","0","passive","warning","true","seq-classification-sweeps/runs/Aug07_19-41-07_phuong-WS-C621E-SAGE-Series","false","true","500","epoch","linear","1","20","512","-1","loss","0","bert","","false","0","12","1","1","12","1","5","adamw_hf","None","false","seq-classification-sweeps","false","true","false","false","0","-1","8","16","None","None","768","12","3","128","first_token_transform","absolute","false","false","None","None","<PUSH_TO_HUB_TOKEN>","last","false","true","1","['wandb']","None","true","false","seq-classification-sweeps","false","false","500","epoch","None","42","[]","true","1","None","false","false","true","50","1","false","None","None","None","false","false","None","16","4.31.0","2","1","false","true","false","false","false","38168","0","0","0.001","None","0.8979591836734694","0.586247444152832","2.3342","188.932","23.991","5","1240","0","0.0181","2608746113894400","0.15351878750708794","334.4931","59.284","3.707"
"dauntless-sweep-17","7460r8iv","finished","-","aphuongle95","","2023-08-07T17:34:37.000Z","382","l8ouv58c","rv0ylzt0","","","2023-08-07T17:40:59.000Z","2023-08-07T17:40:59.000Z","phuong-WS-C621E-SAGE-Series","","","","1","NVIDIA GeForce RTX 2080 Ti","FPTAI/vibert-base-cased","2","false","0.9","0.999","1e-8","false","0.1","false","8","false","false","0","None","false","0","true","None","None","None","None","1800","[]","None","bidi","false","0","true","false","false","false","false","0","5","None","8","0","None","epoch","false","auto","false","O1","[]","{'fsdp_min_num_params': 0, 'xla': False, 'xla_fsdp_grad_ckpt': False}","0","None","false","1","false","false","false","auto","gelu","0.1","768","None","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","0.02","3072","false","false","false","0","1","None","0","1e-12","0.000205122411188554","length","1","true","0","passive","warning","true","seq-classification-sweeps/runs/Aug07_19-34-48_phuong-WS-C621E-SAGE-Series","false","true","500","epoch","linear","1","20","512","-1","loss","0","bert","","false","0","12","1","1","12","1","5","adamw_hf","None","false","seq-classification-sweeps","false","true","false","false","0","-1","8","8","None","None","768","12","3","128","first_token_transform","absolute","false","false","None","None","<PUSH_TO_HUB_TOKEN>","last","false","true","1","['wandb']","None","true","false","seq-classification-sweeps","false","false","500","epoch","None","42","[]","true","1","None","false","false","true","50","1","false","None","None","None","false","false","None","8","4.31.0","2","1","false","true","false","false","false","38168","0","0","0.01","None","0.63718820861678","0.6575449109077454","2.3217","189.951","24.121","5","2480","0","0.6822","2608746113894400","0.6855596849995275","361.5347","54.85","6.86"
"lunar-sweep-16","7460r8iv","finished","-","aphuongle95","","2023-08-07T17:28:13.000Z","378","l8ouv58c","hrzfg3sb","","","2023-08-07T17:34:31.000Z","2023-08-07T17:34:31.000Z","phuong-WS-C621E-SAGE-Series","","","","1","NVIDIA GeForce RTX 2080 Ti","FPTAI/vibert-base-cased","2","false","0.9","0.999","1e-8","false","0.1","false","8","false","false","0","None","false","0","true","None","None","None","None","1800","[]","None","bidi","false","0","true","false","false","false","false","0","5","None","8","0","None","epoch","false","auto","false","O1","[]","{'fsdp_min_num_params': 0, 'xla': False, 'xla_fsdp_grad_ckpt': False}","0","None","false","1","false","false","false","auto","gelu","0.1","768","None","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","0.02","3072","false","false","false","0","1","None","0","1e-12","0.00013241820060610652","length","1","true","0","passive","warning","true","seq-classification-sweeps/runs/Aug07_19-28-21_phuong-WS-C621E-SAGE-Series","false","true","500","epoch","linear","1","20","512","-1","loss","0","bert","","false","0","12","1","1","12","1","5","adamw_hf","None","false","seq-classification-sweeps","false","true","false","false","0","-1","8","8","None","None","768","12","3","128","first_token_transform","absolute","false","false","None","None","<PUSH_TO_HUB_TOKEN>","last","false","true","1","['wandb']","None","true","false","seq-classification-sweeps","false","false","500","epoch","None","42","[]","true","1","None","false","false","true","50","1","false","None","None","None","false","false","None","8","4.31.0","2","1","false","true","false","false","false","38168","0","0","0.01","None","0.63718820861678","0.6203843951225281","2.3109","190.836","24.233","5","2480","0","0.6714","2608746113894400","0.6781950304585118","362.0791","54.767","6.849"
"clear-sweep-15","7460r8iv","finished","-","aphuongle95","","2023-08-07T17:22:21.000Z","349","l8ouv58c","a0gi9g11","","","2023-08-07T17:28:10.000Z","2023-08-07T17:28:10.000Z","phuong-WS-C621E-SAGE-Series","","","","1","NVIDIA GeForce RTX 2080 Ti","FPTAI/vibert-base-cased","2","false","0.9","0.999","1e-8","false","0.1","false","16","false","false","0","None","false","0","true","None","None","None","None","1800","[]","None","bidi","false","0","true","false","false","false","false","0","5","None","8","0","None","epoch","false","auto","false","O1","[]","{'fsdp_min_num_params': 0, 'xla': False, 'xla_fsdp_grad_ckpt': False}","0","None","false","1","false","false","false","auto","gelu","0.1","768","None","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","0.02","3072","false","false","false","0","1","None","0","1e-12","0.0006710977995799132","length","1","true","0","passive","warning","true","seq-classification-sweeps/runs/Aug07_19-22-27_phuong-WS-C621E-SAGE-Series","false","true","500","epoch","linear","1","20","512","-1","loss","0","bert","","false","0","12","1","1","12","1","5","adamw_hf","None","false","seq-classification-sweeps","false","true","false","false","0","-1","8","16","None","None","768","12","3","128","first_token_transform","absolute","false","false","None","None","<PUSH_TO_HUB_TOKEN>","last","false","true","1","['wandb']","None","true","false","seq-classification-sweeps","false","false","500","epoch","None","42","[]","true","1","None","false","false","true","50","1","false","None","None","None","false","false","None","16","4.31.0","2","1","false","true","false","false","false","38168","0","0","0.5","None","0.63718820861678","0.6588165163993835","2.3194","190.133","24.144","5","1240","0","0.6756","2608746113894400","0.6793937683105469","334.0802","59.357","3.712"
"eager-sweep-14","7460r8iv","finished","-","aphuongle95","","2023-08-07T17:16:22.000Z","353","l8ouv58c","rpaxd2yp","","","2023-08-07T17:22:15.000Z","2023-08-07T17:22:15.000Z","phuong-WS-C621E-SAGE-Series","","","","1","NVIDIA GeForce RTX 2080 Ti","FPTAI/vibert-base-cased","2","false","0.9","0.999","1e-8","false","0.1","false","16","false","false","0","None","false","0","true","None","None","None","None","1800","[]","None","bidi","false","0","true","false","false","false","false","0","5","None","8","0","None","epoch","false","auto","false","O1","[]","{'fsdp_min_num_params': 0, 'xla': False, 'xla_fsdp_grad_ckpt': False}","0","None","false","1","false","false","false","auto","gelu","0.1","768","None","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","0.02","3072","false","false","false","0","1","None","0","1e-12","0.0000774451592426365","length","1","true","0","passive","warning","true","seq-classification-sweeps/runs/Aug07_19-16-33_phuong-WS-C621E-SAGE-Series","false","true","500","epoch","linear","1","20","512","-1","loss","0","bert","","false","0","12","1","1","12","1","5","adamw_hf","None","false","seq-classification-sweeps","false","true","false","false","0","-1","8","16","None","None","768","12","3","128","first_token_transform","absolute","false","false","None","None","<PUSH_TO_HUB_TOKEN>","last","false","true","1","['wandb']","None","true","false","seq-classification-sweeps","false","false","500","epoch","None","42","[]","true","1","None","false","false","true","50","1","false","None","None","None","false","false","None","16","4.31.0","2","1","false","true","false","false","false","38168","0","0","0.001","None","0.891156462585034","0.5753777623176575","2.3338","188.964","23.995","5","1240","0","0.03","2608746113894400","0.18069931576328893","334.028","59.366","3.712"
"hopeful-sweep-13","7460r8iv","finished","-","aphuongle95","","2023-08-07T17:10:26.000Z","350","l8ouv58c","ded8a7hf","","","2023-08-07T17:16:16.000Z","2023-08-07T17:16:16.000Z","phuong-WS-C621E-SAGE-Series","","","","1","NVIDIA GeForce RTX 2080 Ti","FPTAI/vibert-base-cased","2","false","0.9","0.999","1e-8","false","0.1","false","16","false","false","0","None","false","0","true","None","None","None","None","1800","[]","None","bidi","false","0","true","false","false","false","false","0","5","None","8","0","None","epoch","false","auto","false","O1","[]","{'fsdp_min_num_params': 0, 'xla': False, 'xla_fsdp_grad_ckpt': False}","0","None","false","1","false","false","false","auto","gelu","0.1","768","None","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","0.02","3072","false","false","false","0","1","None","0","1e-12","0.000792070525904524","length","1","true","0","passive","warning","true","seq-classification-sweeps/runs/Aug07_19-10-33_phuong-WS-C621E-SAGE-Series","false","true","500","epoch","linear","1","20","512","-1","loss","0","bert","","false","0","12","1","1","12","1","5","adamw_hf","None","false","seq-classification-sweeps","false","true","false","false","0","-1","8","16","None","None","768","12","3","128","first_token_transform","absolute","false","false","None","None","<PUSH_TO_HUB_TOKEN>","last","false","true","1","['wandb']","None","true","false","seq-classification-sweeps","false","false","500","epoch","None","42","[]","true","1","None","false","false","true","50","1","false","None","None","None","false","false","None","16","4.31.0","2","1","false","true","false","false","false","38168","0","0","0.1","None","0.63718820861678","0.6589763164520264","2.3193","190.148","24.146","5","1240","0","0.6757","2608746113894400","0.6806728609146611","334.3408","59.311","3.709"
"revived-sweep-12","7460r8iv","finished","-","aphuongle95","","2023-08-07T17:04:04.000Z","379","l8ouv58c","p73evosf","","","2023-08-07T17:10:23.000Z","2023-08-07T17:10:23.000Z","phuong-WS-C621E-SAGE-Series","","","","1","NVIDIA GeForce RTX 2080 Ti","FPTAI/vibert-base-cased","2","false","0.9","0.999","1e-8","false","0.1","false","8","false","false","0","None","false","0","true","None","None","None","None","1800","[]","None","bidi","false","0","true","false","false","false","false","0","5","None","8","0","None","epoch","false","auto","false","O1","[]","{'fsdp_min_num_params': 0, 'xla': False, 'xla_fsdp_grad_ckpt': False}","0","None","false","1","false","false","false","auto","gelu","0.1","768","None","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","false","0.02","3072","false","false","false","0","1","None","0","1e-12","0.00003841430999561745","length","1","true","0","passive","warning","true","seq-classification-sweeps/runs/Aug07_19-04-09_phuong-WS-C621E-SAGE-Series","false","true","500","epoch","linear","1","20","512","-1","loss","0","bert","","false","0","12","1","1","12","1","5","adamw_hf","None","false","seq-classification-sweeps","false","true","false","false","0","-1","8","8","None","None","768","12","3","128","first_token_transform","absolute","false","false","None","None","<PUSH_TO_HUB_TOKEN>","last","false","true","1","['wandb']","None","true","false","seq-classification-sweeps","false","false","500","epoch","None","42","[]","true","1","None","false","false","true","50","1","false","None","None","None","false","false","None","8","4.31.0","2","1","false","true","false","false","false","38168","0","0","0.5","None","0.9047619047619048","0.6267424821853638","2.3327","189.049","24.006","5","2480","0","0.0319","2608746113894400","0.1874243394021065","362.5821","54.691","6.84"
